,flux,z,f,enz,met_concentration,reaction,gpr
Ex_h_c,6.0,1.0,-9999.0,-9999.0,;h_c : 1.0, <=> h_c,
ATP_supply,4.0,1.0,-9999.0,-9999.0,;adp_c : 4.999999992621096e-07;h2o_c : 1.0;h_c : 1.0;atp_c : 4.999999992621096e-07;pi_c : 2.7015849431028562e-05,adp_c + h_c + pi_c --> atp_c + h2o_c,
NADPH_supply,4.0,1.0,-9999.0,-9999.0,;h_c : 1.0;nadph_c : 4.675575957122816e-06;nadp_c : 4.999999992621096e-07,h_c + nadp_c --> nadph_c,
H2Otpp_reverse,3.0,1.0,-9999.0,-9999.0,;h2o_c : 1.0;h2o_p : 1.0,h2o_c --> h2o_p,s0001 or b0875
EX_h2o_e,3.0,1.0,-9999.0,-9999.0,;h2o_e : 1.0,h2o_e --> ,
H2Otex_reverse,3.0,1.0,-9999.0,-9999.0,;h2o_e : 1.0;h2o_p : 1.0,h2o_p --> h2o_e,b1377 or b2215 or b1319 or b3875 or s0001 or b0957 or b0241 or b0929
EX_HCO3,2.0,1.0,-9999.0,-9999.0,;hco3_c : 0.02000000000856292, --> hco3_c,
ACt2rpp_reverse,1.0,1.0,-9999.0,-9999.0,;ac_c : 4.999999992621096e-07;ac_p : 1.0;h_p : 1.0;h_c : 1.0,ac_c + h_c --> ac_p + h_p,b0010
MCL,1.0,1.0,19.536636323256158,0.0005931198102016608,;accoa_c : 0.02000000000856292;malylcoa_c : 1.3751318461112997e-05;glx_c : 5.000007747571837e-07,malylcoa_c --> accoa_c + glx_c,
GLYCK2,1.0,1.0,19.536636323256076,0.00030408163302540606,;adp_c : 4.999999992621096e-07;h_c : 1.0;glyc__R_c : 0.006358328258254519;atp_c : 4.999999992621096e-07;2pg_c : 0.00022333866889188492,atp_c + glyc__R_c --> 2pg_c + adp_c + h_c,b3124
ACKr_reverse,1.0,1.0,19.536636323256364,6.54841049318869e-06,;ac_c : 4.999999992621096e-07;adp_c : 4.999999992621096e-07;atp_c : 4.999999992621096e-07;actp_c : 4.278780280969315e-06,actp_c + adp_c --> ac_c + atp_c,b1849 or b2296 or b3115
ENO,1.0,1.0,19.536636323256037,0.00011027777777250894,;h2o_c : 1.0;2pg_c : 0.00022333866889188492;pep_c : 4.999999992621096e-07,2pg_c --> h2o_c + pep_c,b2779
ACtex_reverse,1.0,1.0,-9999.0,-9999.0,;ac_p : 1.0;ac_e : 1.0,ac_p --> ac_e,b1377 or b0241 or b0929 or b2215
ADK1,1.0,1.0,19.536636323256097,0.00021134408601306297,;adp_c : 4.999999992621096e-07;amp_c : 0.0010949377465919972;atp_c : 4.999999992621096e-07,amp_c + atp_c --> 2.0 adp_c,b0474
MTK,1.0,1.0,19.53663632325603,0.0022522522522522522,;mal__L_c : 0.02000000000856292;coa_c : 2.2201325878783464e-06;malylcoa_c : 1.3751318461112997e-05;adp_c : 4.999999992621096e-07;atp_c : 4.999999992621096e-07;pi_c : 2.7015849431028562e-05,atp_c + coa_c + mal__L_c --> adp_c + malylcoa_c + pi_c,
EX_ac_e,1.0,1.0,-9999.0,-9999.0,;ac_e : 1.0,ac_e --> ,
GCC,1.0,1.0,26.13961765167057,0.006418650812308181,;hco3_c : 0.02000000000856292;tartronylcoa_c : 4.999999992621096e-07;atp_c : 4.999999992621096e-07;adp_c : 4.999999992621096e-07;h_c : 1.0;glycolylcoa_c : 4.999999992621096e-07;pi_c : 2.7015849431028562e-05,atp_c + glycolylcoa_c + hco3_c --> adp_c + h_c + pi_c + tartronylcoa_c,
GCS,1.0,1.0,19.536636323256026,0.0017642642631384197,;h2o_c : 1.0;ppi_c : 4.999999992621096e-07;h_c : 1.0;amp_c : 0.0010949377465919972;atp_c : 4.999999992621096e-07;coa_c : 2.2201325878783464e-06;glycolylcoa_c : 4.999999992621096e-07;glyclt_c : 0.02000000000856292,atp_c + coa_c + glyclt_c + h2o_c --> amp_c + glycolylcoa_c + h_c + ppi_c,
GlyR,1.0,1.0,19.536636323256012,1.6812865488472947e-05,;nadph_c : 4.675575957122816e-06;h_c : 1.0;glx_c : 5.000007747571837e-07;glyclt_c : 0.02000000000856292;nadp_c : 4.999999992621096e-07,glx_c + h_c + nadph_c --> glyclt_c + nadp_c,
TCR,1.0,1.0,28.330710609641812,0.026190476178004532,;tartronylcoa_c : 4.999999992621096e-07;nadph_c : 4.675575957122816e-06;glyc__R_c : 0.006358328258254519;coa_c : 2.2201325878783464e-06;nadp_c : 4.999999992621096e-07,2.0 nadph_c + tartronylcoa_c --> coa_c + glyc__R_c + 2.0 nadp_c,
PPC1,1.0,1.0,34.63961365166996,0.00010191626543610534,;hco3_c : 0.02000000000856292;pep_c : 4.999999992621096e-07;oaa_c : 0.00014373385005367667;pi_c : 2.7015849431028562e-05,hco3_c + pep_c --> oaa_c + pi_c,
PPA,1.0,1.0,33.33962165167114,6.49549232578887e-05,;h2o_c : 1.0;ppi_c : 4.999999992621096e-07;h_c : 1.0;pi_c : 2.7015849431028562e-05,h2o_c + ppi_c --> h_c + 2.0 pi_c,b2502 or b2744 or b4226
PTAr,1.0,1.0,19.536636323255962,6.583655916837076e-05,;accoa_c : 0.02000000000856292;coa_c : 2.2201325878783464e-06;actp_c : 4.278780280969315e-06;pi_c : 2.7015849431028562e-05,accoa_c + pi_c --> actp_c + coa_c,b2297 or b2458
MDHII,1.0,1.0,19.536636323256126,1.9296634444250465e-05,;mal__L_c : 0.02000000000856292;h_c : 1.0;nadph_c : 4.675575957122816e-06;oaa_c : 0.00014373385005367667;nadp_c : 4.999999992621096e-07,h_c + nadph_c + oaa_c --> mal__L_c + nadp_c,
ATPS4rpp,0.25,1.0,-9999.0,8.414300985131315e-06,;h2o_c : 1.0;h_p : 1.0;atp_c : 4.999999992621096e-07;adp_c : 4.999999992621096e-07;h_c : 1.0;pi_c : 2.7015849431028562e-05,adp_c + 4.0 h_p + pi_c --> atp_c + h2o_c + 3.0 h_c,( b3734 and b3733 and b3731 and b3735 and b3732 and b3739 and b3737 and b3738 and b3736 ) or ( b3732 and b3735 and b3731 and b3733 and b3734 and b3737 and b3738 and b3736 )
GTHRDabcpp,0.125,1.0,-9999.0,-9999.0,;h2o_c : 1.0;gthrd_c : 4.999999992621096e-07;atp_c : 4.999999992621096e-07;adp_c : 4.999999992621096e-07;gthrd_p : 1.0;h_c : 1.0;pi_c : 2.7015849431028562e-05,atp_c + gthrd_p + h2o_c --> adp_c + gthrd_c + h_c + pi_c,b0829 and b0831 and b0830 and b0832
GTHRDabc2pp,0.125,1.0,-9999.0,-9999.0,;h2o_c : 1.0;gthrd_c : 4.999999992621096e-07;gthrd_p : 1.0;atp_c : 4.999999992621096e-07;adp_c : 4.999999992621096e-07;h_c : 1.0;pi_c : 2.7015849431028562e-05,atp_c + gthrd_c + h2o_c --> adp_c + gthrd_p + h_c + pi_c,b0886 and b0887
