,flux,z,f,enz,met_concentration,reaction,gpr
Ex_h_c,6.0,1.0,-9999.0,-9999.0,;h_c : 1.0, <=> h_c,
ATP_supply,4.0,1.0,-9999.0,-9999.0,;pi_c : 4.999999992621096e-07;adp_c : 4.999999992621096e-07;atp_c : 0.0012747198867083015;h2o_c : 1.0;h_c : 1.0,adp_c + h_c + pi_c --> atp_c + h2o_c,
NADPH_supply,4.0,1.0,-9999.0,-9999.0,;nadp_c : 4.999999992621096e-07;h_c : 1.0;nadph_c : 4.999999992621096e-07,h_c + nadp_c --> nadph_c,
EX_h2o_e,3.0,1.0,-9999.0,-9999.0,;h2o_e : 1.0,h2o_e --> ,
H2Otpp_reverse,3.0,1.0,-9999.0,-9999.0,;h2o_c : 1.0;h2o_p : 1.0,h2o_c --> h2o_p,s0001 or b0875
H2Otex_reverse,3.0,1.0,-9999.0,-9999.0,;h2o_e : 1.0;h2o_p : 1.0,h2o_p --> h2o_e,b1377 or b2215 or b1319 or b3875 or s0001 or b0957 or b0241 or b0929
EX_HCO3,2.0,1.0,-9999.0,-9999.0,;hco3_c : 0.02000000000856292, --> hco3_c,
EX_ac_e,1.0,1.0,-9999.0,-9999.0,;ac_e : 1.0,ac_e --> ,
ENO,1.0,1.0,31.12871998156493,0.00011027777777250894,;pep_c : 4.999999992621096e-07;h2o_c : 1.0;2pg_c : 0.019999992253620074,2pg_c --> h2o_c + pep_c,b2779
ADK1,1.0,1.0,-9999.0,0.00021134408601306297,;adp_c : 4.999999992621096e-07;amp_c : 4.999999992621096e-07;atp_c : 0.0012747198867083015,amp_c + atp_c --> 2.0 adp_c,b0474
MTK,1.0,1.0,31.12871998156466,0.0022522522522522522,;adp_c : 4.999999992621096e-07;malylcoa_c : 4.999999992621096e-07;pi_c : 4.999999992621096e-07;mal__L_c : 2.099119150082833e-06;coa_c : 4.999999992621096e-07;atp_c : 0.0012747198867083015,atp_c + coa_c + mal__L_c --> adp_c + malylcoa_c + pi_c,
GlyR,1.0,1.0,38.39999899999999,1.6812865488472947e-05,;nadp_c : 4.999999992621096e-07;glyclt_c : 1.424428407290117e-06;glx_c : 4.999999992621096e-07;nadph_c : 4.999999992621096e-07;h_c : 1.0,glx_c + h_c + nadph_c --> glyclt_c + nadp_c,
